Date,open,high,low,close,volume
1662811200,0.064011,0.0643285,0.063552,0.0639989,216142.55187465
1662813000,0.0639944,0.0642846,0.0639485,0.0642846,135402.52367095
1662814800,0.0643509,0.0643509,0.0635456,0.0640551,177608.23085513
1662816600,0.0641341,0.0641957,0.0637,0.0638563,77993.27483828
1662818400,0.0638805,0.0640834,0.0637908,0.0639548,103756.09561971
1662820200,0.0639806,0.0640029,0.06364,0.0637444,1981109.1941136601
1662822000,0.0637961,0.0640302,0.0637961,0.0640302,534981.32784662
1662823800,0.0640302,0.0640523,0.0637628,0.0638942,48764.20481467
1662825600,0.0638698,0.0639648,0.063688,0.0636888,263807.36522102
1662827400,0.0636888,0.0641146,0.0636888,0.0640222,168400.63523176
1662829200,0.0640563,0.0644424,0.0637957,0.0644424,318592.6064083
1662831000,0.0644533,0.0644872,0.0641721,0.0641748,252153.18445959
1662832800,0.064164,0.0643313,0.0640322,0.0641764,331288.02982071997
1662834600,0.0642359,0.0642359,0.0640776,0.0640776,144640.75007592
1662836400,0.064088,0.0641146,0.0640135,0.0640806,675091.29306408
1662838200,0.064075,0.0642708,0.0639919,0.0641672,255194.14116609
1662840000,0.0642467,0.0642531,0.0640093,0.0640178,688064.98365513
1662841800,0.0639918,0.0639918,0.063775,0.0639028,383939.97564388
1662843600,0.0639486,0.0641412,0.0639485,0.0640468,90327.97567642
1662845400,0.0640381,0.0644005,0.0639959,0.0639959,317080.84820955
1662847200,0.0642746,0.0644534,0.0641556,0.0644534,4110541.41747427
1662849000,0.0644774,0.0647844,0.0644774,0.0647844,441280.84172081
1662850800,0.0647202,0.0655,0.0646321,0.0650115,989768.1885726299
1662852600,0.0650642,0.0652943,0.064667,0.0647306,45824.209953080004
1662854400,0.0646989,0.0651898,0.0646989,0.0651898,82614.83287877
1662856200,0.0653082,0.0653502,0.0648936,0.0650698,1021367.37353719
1662858000,0.0651873,0.0651873,0.0647866,0.0648383,100391.08990097
1662859800,0.064828,0.0649762,0.064667,0.0646671,3830.17304403
1662861600,0.0647407,0.0648214,0.0645671,0.0645671,18228.51709163
1662863400,0.0645418,0.0645418,0.0642471,0.064401,195124.13064845
1662865200,0.064342,0.0644549,0.0643157,0.0643157,190587.43314289002
1662867000,0.0643677,0.0643855,0.0642555,0.0642997,62044.15643398
1662868800,0.0644425,0.0644425,0.0643869,0.0643869,5252.91099006
1662870600,0.0643646,0.0643646,0.0639779,0.0641704,175293.26391144
1662872400,0.0642507,0.06429,0.0641164,0.0641164,319617.48657107
1662874200,0.06409,0.0642198,0.06409,0.064158,78452.40533513999
1662876000,0.0641727,0.0642032,0.0639267,0.0639267,28418.42035094
1662877800,0.0638635,0.0638635,0.0628958,0.0634818,316081.60750368
1662879600,0.0634659,0.0637086,0.0634659,0.0637086,33402.344191280004
1662881400,0.063706,0.0639179,0.063706,0.0639179,15530.35845284
1662883200,0.0639485,0.0639997,0.0637988,0.0639129,22400.37417423
1662885000,0.0638517,0.0640568,0.0638517,0.0639881,3312699.33929604
1662886800,0.0639339,0.0639339,0.06375,0.06375,17151.87738312
1662888600,0.0637931,0.063891,0.0637901,0.0637901,32324.85292938
1662890400,0.0637728,0.0638398,0.0637728,0.06379,24412.01514576
1662892200,0.0638395,0.0638901,0.0638395,0.0638655,19511.678137050003
1662894000,0.0638162,0.0639928,0.0637926,0.0639871,1502.6730000799998
1662895800,0.0639956,0.0639956,0.0638802,0.0639348,114638.56727838001
1662897600,0.063992,0.0645129,0.0638013,0.0645129,136198.28614861
1662899400,0.0645391,0.0646902,0.0642617,0.0643586,166679.91297204
1662901200,0.0643529,0.0643529,0.0637198,0.0638422,121269.64622213
1662903000,0.063954,0.0640211,0.063865,0.0639811,64919.43834277
1662904800,0.0641957,0.0642834,0.0636552,0.0636902,127102.28096758999
1662906600,0.0637985,0.0641107,0.0637985,0.0639286,70048.32289304001
1662908400,0.0638872,0.0639724,0.0638872,0.0639527,79517.74870151
1662910200,0.0639724,0.0644207,0.0639724,0.0642556,42864.09341868
1662912000,0.0642364,0.0644822,0.0642364,0.064439,72043.11195469
1662913800,0.064292,0.0646219,0.064292,0.0646219,63202.92390757
1662915600,0.0646248,0.0647008,0.064477,0.0645242,630011.5067207
1662917400,0.0644436,0.0644436,0.0641744,0.0641848,64019.71285245
1662919200,0.0641994,0.064218,0.0641525,0.0641785,40986.74803595
1662921000,0.0641527,0.0641735,0.0639292,0.0639292,134034.94595905
1662922800,0.0638602,0.0639062,0.0637618,0.0638405,3907187.55007139
1662924600,0.0638286,0.0638878,0.0638286,0.0638464,14306.582999989998
1662926400,0.06386,0.0641109,0.0636523,0.0641109,162045.7788652
1662928200,0.0639995,0.0639995,0.063449,0.0639148,204501.5168323
1662930000,0.0639178,0.0639715,0.0637258,0.0637258,8101.144552940001
1662931800,0.0637596,0.0638078,0.0626722,0.0628654,699181.96390469
1662933600,0.0628806,0.0634352,0.0628068,0.0634352,43286.967059250004
1662935400,0.0634205,0.0636591,0.0633545,0.0633545,37118.68943257
1662937200,0.0633544,0.0635173,0.063,0.0634528,3546037.00957504
1662939000,0.0634486,0.0638166,0.0634486,0.0637033,108414.6561011
1662940800,0.0637089,0.0637165,0.06361,0.06361,26077.61951604
1662942600,0.0633237,0.0633541,0.0629841,0.0629841,76295.80976046
1662944400,0.0630292,0.0635915,0.0628822,0.0635915,61517.019356079996
1662946200,0.0636823,0.0645314,0.0635074,0.0642013,361308.76735783
1662948000,0.0642504,0.0642753,0.0633238,0.0633327,133507.13350353
1662949800,0.0633239,0.0634412,0.0629843,0.0631137,2363290.550522
1662951600,0.0631137,0.063411,0.0628169,0.0630232,25639.02404951
1662953400,0.0629215,0.06294,0.0626722,0.06294,5635.28284215
1662955200,0.0630564,0.0633037,0.0630564,0.0633037,59141.353077349995
1662957000,0.0632663,0.0633033,0.0632663,0.0632811,12049.620606
1662958800,0.0632994,0.0632994,0.0630839,0.0632398,7592.761872320001
1662960600,0.0632364,0.0632364,0.063192,0.0632335,10749.41891787
1662962400,0.0632363,0.0633108,0.0631248,0.0631929,66956.77467098
1662964200,0.0632275,0.0634194,0.0632275,0.0634001,24539.10063227
1662966000,0.0633848,0.0636639,0.0633848,0.0636463,376917.77051401
1662967800,0.0636596,0.0639179,0.0635646,0.0639179,265818.13208133
1662969600,0.0638492,0.0640031,0.0638129,0.0640031,669131.12634961
1662971400,0.0640689,0.06438,0.0639771,0.06438,105461.92682896
1662973200,0.0644024,0.0644024,0.0640448,0.0640448,112246.76900721
1662975000,0.0640588,0.0645617,0.0640103,0.064545,406234.92366868
1662976800,0.0640339,0.0641252,0.0638405,0.0640507,213694.35616488
1662978600,0.06417,0.0644207,0.06417,0.0644207,422480.16372037
1662980400,0.0644534,0.0645141,0.0643559,0.0644992,209600.30291671
1662982200,0.0644657,0.0647463,0.0643515,0.0647463,119757.47136782
1662984000,0.0647554,0.0654379,0.0645612,0.0647499,288864.14851773
1662985800,0.0647165,0.064795,0.0644678,0.0645709,432750.08033917
1662987600,0.0645759,0.0649264,0.0645709,0.0647847,432497.61558573
1662989400,0.0648119,0.0648584,0.0643253,0.0646007,217195.20761651002
1662991200,0.0645167,0.0647307,0.0644275,0.0644275,244575.58886156
1662993000,0.0643253,0.0643751,0.0641602,0.0641634,144086.44370466
1662994800,0.0639918,0.0641125,0.0637517,0.0640796,237772.94233503
1662996600,0.0641547,0.0641935,0.0632514,0.0633512,748937.25323276
1662998400,0.0634241,0.0635004,0.0628822,0.063349,778940.15832282
1663000200,0.0633712,0.0636398,0.0632853,0.0636085,190436.60634828
1663002000,0.0636085,0.0636217,0.0635201,0.0636151,85810.79766594
1663003800,0.0635536,0.0638757,0.063541,0.0638757,206764.0016367
1663005600,0.0636513,0.0637515,0.0635398,0.0636198,552684.81667631
1663007400,0.0635252,0.0638013,0.0634894,0.0638013,95663.06211528
1663009200,0.0637559,0.0639219,0.0636419,0.0637256,312774.41403785
1663011000,0.0637447,0.06405,0.0637062,0.063873,608689.54663017
1663012800,0.0639083,0.064069,0.0638169,0.0639646,483392.63280847
1663014600,0.0640245,0.0642372,0.0639976,0.0641394,305260.46094502
1663016400,0.0640492,0.0640492,0.0638186,0.0639274,66778.42224438999
1663018200,0.0638492,0.0640418,0.0638039,0.0638775,123943.59046219
1663020000,0.0637919,0.0638909,0.0637148,0.0638909,53911.27860513
1663021800,0.0637063,0.0638682,0.0637062,0.0637266,208557.0914732
1663023600,0.0637103,0.0641054,0.0637103,0.0638806,1899679.78276954
1663025400,0.0638156,0.0639575,0.063731,0.0639575,8466.75473252
1663027200,0.0639537,0.0639537,0.0632514,0.0632527,154011.03256919
1663029000,0.0632238,0.0635174,0.0631363,0.0635003,7607.402345
1663030800,0.0634267,0.0634607,0.0632801,0.0632801,110972.1845725
1663032600,0.0632029,0.0632888,0.0629061,0.0632065,313601.60516283
1663034400,0.0631731,0.0632325,0.0627851,0.0632325,45085.23169758
1663036200,0.0633037,0.0636237,0.0632699,0.0636237,7919.84614196
1663038000,0.0634013,0.0634013,0.0632494,0.0632901,3438.96358546
1663039800,0.0633025,0.0636431,0.0633025,0.0636431,26904.68599619
1663041600,0.0634996,0.0637122,0.0633771,0.0637122,294717.6598704
1663043400,0.063591,0.063591,0.0635244,0.0635244,49596.550074299994
1663045200,0.0635244,0.0635896,0.0634526,0.0635896,5696.25376581
1663047000,0.0634931,0.0636063,0.0634571,0.0634741,1962.33553611
1663048800,0.0634767,0.0636914,0.0634767,0.0636359,16392.504765600002
1663050600,0.063647,0.0638304,0.0633826,0.0633841,184527.51819754
1663052400,0.0635233,0.0638089,0.0635233,0.063659,8467.26944099
1663054200,0.0637006,0.063887,0.0636557,0.0637793,48882.60819891
1663056000,0.0637379,0.0637604,0.0636678,0.0636678,13378.960000000001
1663057800,0.0636112,0.0636577,0.0633246,0.0635722,45259.67035863
1663059600,0.0635928,0.0638039,0.0635928,0.0638039,127691.16647981999
1663061400,0.0634781,0.0635358,0.0633906,0.0633906,102898.76816111
1663063200,0.063409,0.0634424,0.0633277,0.0634424,67955.16972141
1663065000,0.0634415,0.0636418,0.0634415,0.0636254,13610.68
1663066800,0.0636418,0.0638869,0.0636418,0.0638759,92205.80039878
1663068600,0.0639175,0.0639999,0.0637066,0.0638954,739898.16267522
1663070400,0.0639229,0.064069,0.0637307,0.0639463,597324.85518751
1663072200,0.064069,0.0641,0.0605317,0.0611522,12045501.74953632
1663074000,0.0610207,0.0611503,0.0607204,0.0608622,1149022.0522461
1663075800,0.061091,0.0612022,0.060609,0.06065,1221154.53237272
1663077600,0.06065,0.0609507,0.0604897,0.0609184,147124.44678726
1663079400,0.0609001,0.0609001,0.0601546,0.0604704,720367.97168033
1663081200,0.0604115,0.060495,0.0602453,0.0602697,370900.31338255
1663083000,0.0602906,0.0605636,0.0602598,0.0603135,117978.3839209
1663084800,0.0602354,0.0605064,0.0601836,0.0603243,211429.26639275
1663086600,0.0603547,0.0605636,0.0603519,0.0605372,14047.62932959
1663088400,0.0605164,0.060617,0.0604007,0.0605845,590580.9724510399
1663090200,0.0605982,0.0606486,0.0605472,0.0606462,264169.38770695
1663092000,0.060623,0.0606369,0.0603867,0.0603867,226217.52713616999
1663093800,0.0603685,0.0604017,0.0597673,0.0598526,656591.88387983
1663095600,0.0597,0.0599916,0.0592516,0.0599327,1635640.56918253
1663097400,0.0600674,0.060244,0.0600674,0.0601782,584005.00092626
1663099200,0.0601809,0.0604892,0.060127,0.060271,1055006.64829019
1663101000,0.0602973,0.0605101,0.0602973,0.0604603,430667.83177698
1663102800,0.0601879,0.0603988,0.0601879,0.0603445,186822.77581687
1663104600,0.0601879,0.0604021,0.05982,0.0602368,333270.91618656
